slug,name,country,instagram,youtube,tiktok,x_twitter,spotify,apple_music,facebook,soundcloud,notes
alejandro-sanz,Alejandro Sanz,ES,,,,,,,,,
beele,Beéle,CO,,,,,,,,,
c-tangana,C. Tangana,ES,,,,,,,,,
ca7riel-paco-amoroso,CA7RIEL & Paco Amoroso,AR,,,,,,,,,Provide links for the duo's joint accounts AND each member individually
caetano-veloso,Caetano Veloso,BR,,,,,,,,,
camila,Camila,MX,,,,,,,,,Reunited 2024 — verify accounts are official band (not solo Mario Domm)
carlos-santana,Carlos Santana,MX,,,,,,,,,
carlos-vives,Carlos Vives,CO,,,,,,,,,
charly-garcia,Charly García,AR,,,,,,,,,
chayanne,Chayanne,PR,,,,,,,,,
christina-aguilera,Christina Aguilera,US,,,,,,,,,
darumas,DARUMAS,MULTI,,,,,,,,,Multi-country trio: AR/CU-US/HT-CL
dennis,DENNIS,BR,,,,,,,,,Performs as DENNIS DJ
djavan,Djavan,BR,,,,,,,,,
emilia,Emilia,AR,,,,,,,,,Emilia Mernes
filipe-ret,Filipe Ret,BR,,,,,,,,,
fito-paez,Fito Páez,AR,,,,,,,,,
grupo-menos-e-mais,Grupo Menos É Mais,BR,,,,,,,,,
gusttavo-lima,Gusttavo Lima,BR,,,,,,,,,
ha-ash,Ha*Ash,MX,,,,,,,,,Aliases: HA-ASH / HAASH
jorge-drexler,Jorge Drexler,UY,,,,,,,,,
kany-garcia,Kany García,PR,,,,,,,,,
kapo,Kapo,CO,,,,,,,,,Real name Juan David Loaiza Sepúlveda
kenia-os,Kenia OS,MX,,,,,,,,,
luan-santana,Luan Santana,BR,,,,,,,,,
luck-ra,Luck Ra,AR,,,,,,,,,
luisa-sonza,Luísa Sonza,BR,,,,,,,,,
marisa-monte,Marisa Monte,BR,,,,,,,,,
mon-laferte,Mon Laferte,CL,,,,,,,,,
natalia-lafourcade,Natalia Lafourcade,MX,,,,,,,,,
nathy-peluso,Nathy Peluso,AR,,,,,,,,,
nicki-nicole,Nicki Nicole,AR,,,,,,,,,
prince-royce,Prince Royce,US,,,,,,,,,
rauw-alejandro,Rauw Alejandro,PR,,,,,,,,,
reik,Reik,MX,,,,,,,,,
residente,Residente,PR,,,,,,,,,René Pérez Joglar
ricky-martin,Ricky Martin,PR,,,,,,,,,
roberto-carlos,Roberto Carlos,BR,,,,,,,,,
romeo-santos,Romeo Santos,US,,,,,,,,,
rosalia,Rosalía,ES,,,,,,,,,
shakira,Shakira,CO,,,,,,,,,
thalia,Thalía,MX,,,,,,,,,
tiago-iorc,Tiago Iorc,BR,,,,,,,,,
tini,TINI,AR,,,,,,,,,Tini Stoessel
trueno,Trueno,AR,,,,,,,,,
vicente-fernandez,Vicente Fernández,MX,,,,,,,,,Deceased 2021-12-12 — official estate-managed accounts only
